Task
Date;Time [min];Concentration [Vol.%];Pressure [Bar]
18.11.2020 09:48:09;  0.00;  0.019;;1.020
18.11.2020 09:49:10;  1.02;  0.019;;1.020
18.11.2020 09:50:09;  2.00;  0.019;;1.020
18.11.2020 09:51:09;  3.00;  0.020;;1.020
18.11.2020 09:52:09;  4.00;  0.020;;1.020
18.11.2020 09:53:09;  5.00;  0.019;;1.020
18.11.2020 09:54:09;  6.00;  0.020;;1.020
18.11.2020 09:55:09;  7.00;  0.020;;1.020
18.11.2020 09:56:09;  8.00;  0.021;;1.020
18.11.2020 09:57:09;  9.00;  0.018;;1.020
18.11.2020 09:58:09; 10.00;  0.020;;1.020
18.11.2020 09:59:09; 11.00;  0.018;;1.020
18.11.2020 10:00:09; 12.00;  0.019;;1.020
18.11.2020 10:01:09; 13.00;  0.020;;1.020
18.11.2020 10:02:09; 14.00;  0.019;;1.020
18.11.2020 10:03:09; 15.00;  0.020;;1.020
18.11.2020 10:04:09; 16.00;  0.021;;1.020
18.11.2020 10:05:09; 17.00;  0.020;;1.020
18.11.2020 10:06:09; 18.00;  0.022;;1.020
18.11.2020 10:07:09; 19.00;  0.024;;1.020
18.11.2020 10:08:09; 20.00;  0.028;;1.020
18.11.2020 10:09:09; 21.00;  0.111;;1.020
18.11.2020 10:10:09; 22.00;  0.245;;1.020
18.11.2020 10:11:09; 23.00;  0.337;;1.020
18.11.2020 10:12:09; 24.00;  0.399;;1.020
18.11.2020 10:13:09; 25.00;  0.441;;1.020
18.11.2020 10:14:09; 26.00;  0.477;;1.020
18.11.2020 10:15:09; 27.00;  0.503;;1.020
18.11.2020 10:16:09; 28.00;  0.532;;1.020
18.11.2020 10:17:09; 29.00;  0.552;;1.020
18.11.2020 10:18:09; 30.00;  0.576;;1.020
18.11.2020 10:19:09; 31.00;  0.601;;1.020
18.11.2020 10:20:09; 32.00;  0.636;;1.020
18.11.2020 10:21:09; 33.00;  0.662;;1.020
18.11.2020 10:22:09; 34.00;  0.846;;1.020
18.11.2020 10:23:09; 35.00;  1.297;;1.020
18.11.2020 10:24:09; 36.00;  1.618;;1.020
18.11.2020 10:25:09; 37.00;  1.856;;1.020
18.11.2020 10:26:09; 38.00;  2.010;;1.020
18.11.2020 10:27:09; 39.00;  2.105;;1.020
18.11.2020 10:28:09; 40.00;  2.194;;1.020
18.11.2020 10:29:09; 41.00;  2.260;;1.020
18.11.2020 10:30:09; 42.00;  2.318;;1.020
18.11.2020 10:31:09; 43.00;  2.374;;1.020
18.11.2020 10:32:09; 44.00;  2.432;;1.020
18.11.2020 10:33:09; 45.00;  2.496;;1.020
18.11.2020 10:34:09; 46.00;  2.570;;1.020
18.11.2020 10:35:09; 47.00;  2.662;;1.020
