PDatTime;Age;TEMP;JTEMP;STIRR;pH;pO2;AIRSP;MFC_B;MFC_C;MFC_D;VALVE_A;O2SP;VALVE_C;VALVE_D;PUMP_A;PUMP_B;SUBS_A;SUBS_B;SUBS_C;PUMPT_A;FOAMT;ACIDT;BASET;SUBST_A;SUBST_B;SUBST_C;VALVET_A;O2SPT;VALVET_C;VALVET_D;EXT_A;EXT_B;BALANCE_A;BALANCE_B;FLOW_A;REDOX;TURB;pHo;pO2o;EO2;ECO2;AIROV;N2SP;CO2SP
;;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
;(h);(°C);(°C);(rpm);(pH);(%sat);(lpm);(lpm);(lpm);(lpm);(%);(%);(%);(%);(%);(%);(%);(%);(%);(ml);(ml);(ml);(ml);(ml);(ml);(ml);(l);(l);(l);(l);(%);(%);(g);(kg);(g/h);(mV);(AU);(pH);(%sat);(%);(%);(lpm);(%);(lpm)
02.11.2020 10:10:30;0;32,1;31,8;800;6,723;98,52;0,501;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0,3;130;3;9;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,501;0;0
02.11.2020 10:15:30;8,33333333333333E-02;32,0475;32,0475;800;6,64035833333333;95,8256666666667;0,50085;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0,3;130;3;9;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,50085;0;0
02.11.2020 10:20:30;0,166666666666667;31,995;32,25;800;6,491675;91,67375;0,50085;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0,3;130;3;9;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,50085;0;0
02.11.2020 10:25:30;0,25;31,995;32,25;800;6,36585833333333;90,86;0,501075;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0,3;130;3;9;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,501075;0;0
02.11.2020 10:30:30;0,333333333333333;31,995;32,1975;800;6,25536666666667;90,73;0,501075;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0,3;130;3;9;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,501075;0;0
02.11.2020 10:35:30;0,416666666666667;31,995;32,1525;800;6,14445833333333;90,58;0,50085;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0,3;130;3;9;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,50085;0;0
02.11.2020 10:40:30;0,5;31,995;32,1525;800;6,02408333333333;89,9494166666667;0,500775;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0,3;130;3;9;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,500775;0;0
02.11.2020 10:45:30;0,583333333333333;31,995;32,1375;800;5,88980833333333;89,27;0,50085;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0,3;130;3;9;0;0;0;9841;0;0;0;0;0;0;0;0;0;-2,00000000000422E-04;0;0;0;0,50085;0;0
